0,0,0,0,0,0,0,0,0,0,256.6419,420.0623,370.5896,206.9567,309.4095,358.3125,286.92905,288.8648,339.981,349.661
0.5973,0.5634,0.1142,5.4578,0.4315,1.6468,5.1656,0.26,1.2708,2.3085,256.0446,419.4989,370.4754,201.4989,308.978,356.6657,281.76345,288.6048,338.7102,347.3525
7.2085,1.3348,0.2514,7.1728,0.9423,4.0215,6.4222,0.9779,0.2832,1.8034,249.4334,418.7275,370.3382,199.7839,308.4672,354.291,280.50685,287.8869,339.6978,347.8576
9.762,2.0888,1.6676,10.0867,4.6515,6.4306,7.2473,2.404,4.7696,5.7507,246.8799,417.9735,368.922,196.87,304.758,351.8819,279.68175,286.4608,335.2114,343.9103
8.3894,3.4976,0.651,14.2233,9.9807,2.8641,4.9004,1.1089,2.8232,6.8707,248.2525,416.5647,369.9386,192.7334,299.4288,355.4484,282.02865,287.7559,337.1578,342.7903
7.5727,0.4921,2.5192,17.0751,13.1664,4.6438,5.3499,1.4285,3.6256,1.3498,249.0692,419.5702,368.0704,189.8816,296.2431,353.6687,281.57915,287.4363,336.3554,348.3112
11.0617,0.4737,1.4017,16.6629,13.4761,4.7516,6.0627,0.2183,9.3794,1.3172,245.5802,419.5886,369.1879,190.2938,295.9334,353.5609,280.86635,288.6465,330.6016,348.3438
10.8745,1.3156,0.8534,17.4138,14.2542,3.0902,2.3884,0.7502,12.5183,1.8754,245.7674,418.7467,369.7362,189.5429,295.1553,355.2223,284.54065,288.1146,327.4627,347.7856
16.0397,1.818,1.8543,16.1379,16.4213,1.6051,2.6883,5.3599,12.8235,3.7129,240.6022,418.2443,368.7353,190.8188,292.9882,356.7074,284.24075,283.5049,327.1575,345.9481
18.7516,0.924,6.9911,14.5581,17.0865,5.3455,3.4702,5.2151,14.4413,3.6282,237.8903,419.1383,363.5985,192.3986,292.323,352.967,283.45885,283.6497,325.5397,346.0328
18.1631,3.5133,7.4637,11.5448,18.2818,3.5531,1.9122,3.6317,21.1483,7.0836,238.4788,416.549,363.1259,195.4119,291.1277,354.7594,285.01685,285.2331,318.8327,342.5774
21.5885,6.7274,5.3453,11.0973,16.804,0.6308,3.3486,7.626,25.2041,3.919,235.0534,413.3349,365.2443,195.8594,292.6055,357.6817,283.58045,281.2388,314.7769,345.742
17.1994,6.0319,8.9552,11.7516,15.9679,1.5488,0.4903,10.286,22.0395,10.7754,239.4425,414.0304,361.6344,195.2051,293.4416,356.7637,286.43875,278.5788,317.9415,338.8856
21.9219,3.2393,9.0076,7.7197,19.417,7.2188,0.6777,9.2459,22.8782,14.703,234.72,416.823,361.582,199.237,289.9925,351.0937,286.25135,279.6189,317.1028,334.958
21.2486,6.9509,11.4632,8.5139,20.5095,7.6364,0.0489,7.646,26.0455,14.4001,235.3933,413.1114,359.1264,198.4428,288.9,350.6761,286.88015,281.2188,313.9355,335.2609
22.7745,6.4919,10.7877,9.3078,19.1041,8.8021,1.2998,11.7288,22.3347,15.5121,233.8674,413.5704,359.8019,197.6489,290.3054,349.5104,285.62925,277.136,317.6463,334.1489
21.3649,4.9474,10.2079,10.1103,20.4512,6.6698,0.1661,12.1618,23.4484,13.5533,235.277,415.1149,360.3817,196.8464,288.9583,351.6427,286.76295,276.703,316.5326,336.1077
22.6433,10.8684,7.8593,11.9114,21.6629,11.4493,0.4438,13.002,23.6181,11.4407,233.9986,409.1939,362.7303,195.0453,287.7466,346.8632,286.48525,275.8628,316.3629,338.2203
28.639,14.6316,10.3004,8.2556,23.6662,12.13,2.4064,14.2761,24.7311,11.9922,228.0029,405.4307,360.2892,198.7011,285.7433,346.1825,284.52265,274.5887,315.2499,337.6688
27.5896,12.1106,11.8452,4.6104,24.464,13.8825,0.4083,12.9618,22.951,14.95,229.0523,407.9517,358.7444,202.3463,284.9455,344.43,286.52075,275.903,317.03,334.711
28.7329,17.954,9.2775,6.5158,22.0944,11.7136,2.3459,16.1927,18.4673,17.7496,227.909,402.1083,361.3121,200.4409,287.3151,346.5989,284.58315,272.6721,321.5137,331.9114
26.6208,12.9865,7.892,2.7162,18.1418,14.3232,4.2076,22.7685,15.9799,23.739,230.0211,407.0758,362.6976,204.2405,291.2677,343.9893,282.72145,266.0963,324.0011,325.922
26.46,15.1957,9.5724,2.92,21.5462,15.7027,6.3702,16.5363,21.2904,23.2269,230.1819,404.8666,361.0172,204.0367,287.8633,342.6098,280.55885,272.3285,318.6906,326.4341
27.4843,18.8679,7.638,4.1448,22.1428,12.9943,9.3909,17.4101,21.2971,22.9869,229.1576,401.1944,362.9516,202.8119,287.2667,345.3182,277.53815,271.4547,318.6839,326.6741
